Date,Price
2015-01-04,5.213650
2015-01-11,5.181300
2015-01-18,5.009220
2015-01-25,5.006000
2015-02-01,4.870800
2015-02-08,4.940660
2015-02-15,5.009900
2015-02-22,5.010540
2015-03-01,4.906280
2015-03-08,4.922140
2015-03-15,4.906320
2015-03-22,4.772120
2015-03-29,4.964580
2015-04-05,4.871475
2015-04-12,4.817700
2015-04-19,4.749300
2015-04-26,4.706060
2015-05-03,4.545440
2015-05-10,4.517460
2015-05-17,4.520540
2015-05-24,4.516200
2015-05-31,4.402940
2015-06-07,4.465800
2015-06-14,4.472640
2015-06-21,4.411040
2015-06-28,4.623160
2015-07-05,5.142840
2015-07-12,5.255180
2015-07-19,5.296720
2015-07-26,4.961260
2015-08-02,4.601720
2015-08-09,4.579440
2015-08-16,4.593880
2015-08-23,4.545800
2015-08-30,4.525360
2015-09-06,4.411720
2015-09-13,4.473660
2015-09-20,4.633600
2015-09-27,4.613740
2015-10-04,4.671460
2015-10-11,4.713540
2015-10-18,4.559620
2015-10-25,4.540980
2015-11-01,4.576460
2015-11-08,4.528960
2015-11-15,4.352200
2015-11-22,4.355200
2015-11-29,4.382240
2015-12-06,4.426340
2015-12-13,4.431680
2015-12-20,4.433440
2015-12-27,4.335400
2016-01-03,4.254175
2016-01-10,4.179460
2016-01-17,4.220240
2016-01-24,4.338940
2016-01-31,4.356660
2016-02-07,4.369680
2016-02-14,4.262160
2016-02-21,4.302920
2016-02-28,4.266340
2016-03-06,4.176820
2016-03-13,4.222440
2016-03-20,4.303180
2016-03-27,4.322175
2016-04-03,4.248160
2016-04-10,4.194940
2016-04-17,4.318960
2016-04-24,4.480920
2016-05-01,4.478360
2016-05-08,4.386540
2016-05-15,4.402120
2016-05-22,4.557520
2016-05-29,4.670100
2016-06-05,4.770040
2016-06-12,4.932320
2016-06-19,4.986040
2016-06-26,4.581180
2016-07-03,4.304040
2016-07-10,3.994300
2016-07-17,4.047380
2016-07-24,3.897380
2016-07-31,3.820160
2016-08-07,3.735640
2016-08-14,3.731200
2016-08-21,3.811200
2016-08-28,3.749080
2016-09-04,3.591260
2016-09-11,3.732840
2016-09-18,3.733980
2016-09-25,3.777040
2016-10-02,3.707120
2016-10-09,3.855420
2016-10-16,3.870520
2016-10-23,3.960620
2016-10-30,3.953340
2016-11-06,3.909120
2016-11-13,3.859900
2016-11-20,3.820720
2016-11-27,3.920300
2016-12-04,3.813300
2016-12-11,3.909460
2016-12-18,3.927520
2016-12-25,3.816060
2017-01-01,3.836375
2017-01-08,3.922450
2017-01-15,3.913840
2017-01-22,3.988140
2017-01-29,3.990860
2017-02-05,3.970100
2017-02-12,4.031860
2017-02-19,4.087060
2017-02-26,4.017940
2017-03-05,4.034880
2017-03-12,3.982420
2017-03-19,3.899360
2017-03-26,3.845300
2017-04-02,3.842600
2017-04-09,3.889200
2017-04-16,3.941000
2017-04-23,3.861580
2017-04-30,3.859440
2017-05-07,3.913580
2017-05-14,3.881540
2017-05-21,3.875240
2017-05-28,3.906200
2017-06-04,3.897800
2017-06-11,4.011300
2017-06-18,3.987140
2017-06-25,3.858920
2017-07-02,3.805340
2017-07-09,4.003400
2017-07-16,4.002000
2017-07-23,3.949500
2017-07-30,3.870500
2017-08-06,3.803000
2017-08-13,3.806500
2017-08-20,3.681500
2017-08-27,3.574500
2017-09-03,3.512500
2017-09-10,3.569000
2017-09-17,3.542500
2017-09-24,3.507000
2017-10-01,3.530000
