E01000571,Brent,Violence Against the Person,Wounding/GBH,0,2011,4
E01000162,Barnet,Robbery,Personal Property,1,2014,7
E01002428,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,10
E01001404,Enfield,Violence Against the Person,Common Assault,0,2016,11
E01003574,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,2
E01003896,Richmond upon Thames,Robbery,Business Property,0,2013,10
E01001147,Croydon,Theft and Handling,Other Theft,0,2012,11
E01003003,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,2
E01001773,Hackney,Theft and Handling,Other Theft,3,2010,2
E01002414,Hillingdon,Violence Against the Person,Common Assault,0,2008,1
E01001453,Enfield,Violence Against the Person,Offensive Weapon,0,2009,6
E01004420,Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,1,2009,12
E01004202,Tower Hamlets,Criminal Damage,Other Criminal Damage,1,2010,11
E01003907,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,5
E01032573,Hounslow,Theft and Handling,Theft From Motor Vehicle,5,2015,5
E01003578,Newham,Burglary,Burglary in Other Buildings,1,2015,8
E01001927,Hammersmith and Fulham,Theft and Handling,Other Theft Person,0,2016,6
E01000448,Bexley,Other Notifiable Offences,Going Equipped,0,2015,7
E01002139,Harrow,Violence Against the Person,Other violence,0,2016,3
E01001037,Croydon,Robbery,Business Property,0,2008,3
E01001221,Ealing,Fraud or Forgery,Other Fraud & Forgery,0,2015,3
E01004406,Waltham Forest,Violence Against the Person,Assault with Injury,1,2011,11
E01001827,Hackney,Robbery,Personal Property,0,2016,3
E01002326,Havering,Drugs,Possession Of Drugs,0,2010,9
E01002639,Hounslow,Violence Against the Person,Common Assault,0,2008,11
E01003444,Merton,Burglary,Burglary in Other Buildings,0,2014,5
E01004130,Sutton,Violence Against the Person,Common Assault,0,2010,10
E01004402,Waltham Forest,Violence Against the Person,Wounding/GBH,0,2010,5
E01002135,Harrow,Burglary,Burglary in Other Buildings,0,2014,4
E01003203,Lewisham,Theft and Handling,Other Theft,11,2012,10
E01002579,Hounslow,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2012,2
E01003416,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,5
E01003480,Newham,Criminal Damage,Other Criminal Damage,0,2009,6
E01002052,Haringey,Other Notifiable Offences,Other Notifiable,0,2014,11
E01002897,Kensington and Chelsea,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,7
E01001858,Hammersmith and Fulham,Drugs,Drug Trafficking,0,2013,1
E01000393,Bexley,Theft and Handling,Theft From Shops,0,2008,7
E01004419,Waltham Forest,Burglary,Burglary in a Dwelling,3,2010,12
E01003295,Lewisham,Theft and Handling,Theft From Shops,0,2009,4
E01001634,Greenwich,Drugs,Possession Of Drugs,4,2013,11
E01002430,Hillingdon,Violence Against the Person,Assault with Injury,1,2008,2
E01000974,Camden,Theft and Handling,Handling Stolen Goods,0,2011,12
E01032775,Tower Hamlets,Violence Against the Person,Assault with Injury,0,2010,10
E01002385,Havering,Violence Against the Person,Wounding/GBH,0,2008,1
E01001668,Greenwich,Burglary,Burglary in Other Buildings,2,2013,6
E01002779,Islington,Violence Against the Person,Other violence,0,2015,2
E01002615,Hounslow,Burglary,Burglary in a Dwelling,1,2016,10
E01001973,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,12
E01002857,Kensington and Chelsea,Theft and Handling,Theft From Shops,0,2013,8
E01000023,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,0,2014,3
E01001968,Haringey,Violence Against the Person,Common Assault,1,2010,3
E01003538,Newham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2012,8
E01001835,Hackney,Robbery,Personal Property,0,2008,3
E01003773,Redbridge,Theft and Handling,Theft From Shops,1,2016,9
E01001099,Croydon,Robbery,Business Property,0,2014,12
E01001699,Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,8
E01001006,Croydon,Theft and Handling,Theft From Shops,1,2014,8
E01004571,Wandsworth,Burglary,Burglary in Other Buildings,3,2014,10
E01002860,Kensington and Chelsea,Theft and Handling,Other Theft,4,2008,5
E01003828,Richmond upon Thames,Criminal Damage,Criminal Damage To Dwelling,0,2011,4
E01000164,Barnet,Criminal Damage,Criminal Damage To Other Building,0,2016,10
E01003311,Lewisham,Criminal Damage,Criminal Damage To Other Building,0,2011,9
E01001713,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2010,10
E01033578,Newham,Drugs,Drug Trafficking,0,2013,3
E01000547,Brent,Other Notifiable Offences,Going Equipped,0,2014,5
E01002821,Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,9
E01000328,Bexley,Violence Against the Person,Offensive Weapon,0,2013,4
E01003400,Merton,Violence Against the Person,Assault with Injury,0,2016,9
E01003787,Redbridge,Criminal Damage,Criminal Damage To Dwelling,0,2012,8
E01001697,Greenwich,Other Notifiable Offences,Going Equipped,0,2009,12
E01000181,Barnet,Other Notifiable Offences,Going Equipped,0,2015,11
E01002055,Haringey,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,2
E01001914,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,11
E01004634,Wandsworth,Theft and Handling,Theft From Motor Vehicle,0,2009,10
E01004301,Tower Hamlets,Violence Against the Person,Wounding/GBH,0,2013,7
E01004250,Tower Hamlets,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2010,11
E01002997,Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,10
E01003945,Southwark,Criminal Damage,Other Criminal Damage,1,2013,11
E01004197,Tower Hamlets,Criminal Damage,Criminal Damage To Dwelling,0,2015,10
E01001945,Hammersmith and Fulham,Robbery,Business Property,0,2012,9
E01003265,Lewisham,Fraud or Forgery,Counted per Victim,0,2013,7
E01003357,Merton,Burglary,Burglary in Other Buildings,1,2013,6
E01003641,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,3
E01003364,Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,3
E01000517,Brent,Violence Against the Person,Other violence,0,2015,12
E01000874,Camden,Theft and Handling,Other Theft Person,0,2010,5
E01002002,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,12
E01001376,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2012,4
E01003754,Redbridge,Theft and Handling,Theft From Shops,0,2015,1
E01002870,Kensington and Chelsea,Robbery,Business Property,0,2016,1
E01002557,Hounslow,Robbery,Business Property,0,2013,6
E01001158,Croydon,Theft and Handling,Other Theft,0,2011,10
E01001560,Enfield,Theft and Handling,Other Theft,1,2010,5
E01000479,Brent,Burglary,Burglary in Other Buildings,0,2016,5
E01000799,Bromley,Robbery,Personal Property,0,2016,12
E01000893,Camden,Burglary,Burglary in Other Buildings,1,2011,8
E01003232,Lewisham,Violence Against the Person,Offensive Weapon,0,2010,4
E01000430,Bexley,Violence Against the Person,Other violence,0,2014,6
E01000354,Bexley,Violence Against the Person,Other violence,0,2012,10
E01002420,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2012,8
E01002881,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,1,2015,10
E01002050,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,11
E01003745,Redbridge,Violence Against the Person,Common Assault,0,2012,7
E01003880,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,2,2013,5
E01000824,Bromley,Robbery,Business Property,0,2010,8
E01000194,Barnet,Other Notifiable Offences,Other Notifiable,0,2008,10
E01004670,Westminster,Violence Against the Person,Murder,0,2010,4
E01000925,Camden,Theft and Handling,Other Theft Person,0,2016,6
