E01004613,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,2
E01000368,Bexley,Violence Against the Person,Assault with Injury,1,2013,1
E01003934,Southwark,Violence Against the Person,Offensive Weapon,0,2011,12
E01000830,Bromley,Criminal Damage,Criminal Damage To Other Building,0,2010,5
E01002249,Havering,Criminal Damage,Criminal Damage To Other Building,0,2012,11
E01002506,Hillingdon,Criminal Damage,Criminal Damage To Other Building,1,2009,6
E01002073,Haringey,Theft and Handling,Other Theft,3,2010,10
E01000827,Bromley,Criminal Damage,Criminal Damage To Other Building,0,2015,4
E01000046,Barking and Dagenham,Drugs,Possession Of Drugs,0,2011,2
E01003549,Newham,Other Notifiable Offences,Other Notifiable,0,2013,3
E01002509,Hillingdon,Violence Against the Person,Offensive Weapon,0,2014,5
E01002045,Haringey,Violence Against the Person,Offensive Weapon,0,2010,7
E01004712,Westminster,Robbery,Personal Property,0,2009,11
E01000369,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,5
E01001825,Hackney,Drugs,Possession Of Drugs,0,2013,12
E01002775,Islington,Robbery,Business Property,0,2009,5
E01002839,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,0,2015,7
E01004388,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,0,2008,1
E01001762,Hackney,Violence Against the Person,Wounding/GBH,1,2015,2
E01001996,Haringey,Drugs,Possession Of Drugs,0,2009,10
E01002227,Harrow,Burglary,Burglary in Other Buildings,0,2008,10
E01003095,Lambeth,Violence Against the Person,Offensive Weapon,0,2016,8
E01003788,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,8
E01003076,Lambeth,Theft and Handling,Handling Stolen Goods,0,2016,9
E01003235,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,4
E01004003,Southwark,Theft and Handling,Handling Stolen Goods,0,2015,11
E01003119,Lambeth,Other Notifiable Offences,Other Notifiable,0,2012,1
E01002539,Hillingdon,Burglary,Burglary in Other Buildings,0,2011,9
E01002734,Islington,Other Notifiable Offences,Other Notifiable,1,2011,2
E01001545,Enfield,Theft and Handling,Other Theft Person,0,2012,7
E01003589,Newham,Violence Against the Person,Other violence,0,2012,7
E01000015,Barking and Dagenham,Violence Against the Person,Offensive Weapon,0,2015,1
E01001117,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,2,2009,10
E01001792,Hackney,Fraud or Forgery,Counted per Victim,0,2012,3
E01001319,Ealing,Criminal Damage,Criminal Damage To Dwelling,0,2016,5
E01000449,Bexley,Robbery,Personal Property,0,2008,4
E01003365,Merton,Other Notifiable Offences,Other Notifiable,0,2010,11
E01001650,Greenwich,Drugs,Drug Trafficking,0,2015,5
E01001311,Ealing,Other Notifiable Offences,Other Notifiable,0,2014,10
E01002176,Harrow,Criminal Damage,Criminal Damage To Dwelling,0,2015,6
E01000985,Croydon,Drugs,Possession Of Drugs,0,2012,5
E01000399,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,12
E01000565,Brent,Theft and Handling,Theft From Shops,0,2014,4
E01004720,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2008,10
E01002831,Kensington and Chelsea,Theft and Handling,Handling Stolen Goods,1,2013,8
E01000848,Camden,Theft and Handling,Handling Stolen Goods,0,2014,1
E01003401,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,6
E01001555,Enfield,Theft and Handling,Theft From Shops,3,2016,5
E01032568,Bromley,Theft and Handling,Other Theft Person,0,2009,6
E01001826,Hackney,Theft and Handling,Other Theft Person,0,2010,5
E01002060,Haringey,Drugs,Possession Of Drugs,0,2010,7
E01001347,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2009,12
E01004135,Sutton,Theft and Handling,Other Theft Person,0,2010,3
E01004103,Sutton,Burglary,Burglary in a Dwelling,0,2011,3
E01001737,Hackney,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,12
E01002423,Hillingdon,Burglary,Burglary in Other Buildings,1,2016,4
E01000833,Bromley,Violence Against the Person,Common Assault,0,2009,10
E01002708,Islington,Drugs,Possession Of Drugs,4,2009,11
E01001211,Ealing,Theft and Handling,Theft From Motor Vehicle,1,2013,9
E01033486,Islington,Criminal Damage,Other Criminal Damage,0,2015,12
E01001391,Enfield,Theft and Handling,Other Theft,0,2010,11
E01001435,Enfield,Theft and Handling,Other Theft Person,0,2011,11
E01002868,Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,0,2012,10
E01032742,Havering,Drugs,Possession Of Drugs,1,2014,3
E01004392,Waltham Forest,Theft and Handling,Other Theft Person,10,2013,7
E01033153,Waltham Forest,Criminal Damage,Criminal Damage To Dwelling,0,2012,3
E01004605,Wandsworth,Other Notifiable Offences,Other Notifiable,0,2010,3
E01002119,Harrow,Violence Against the Person,Harassment,0,2012,11
E01003534,Newham,Violence Against the Person,Assault with Injury,0,2013,6
E01002909,Kensington and Chelsea,Violence Against the Person,Offensive Weapon,0,2010,3
E01002098,Haringey,Theft and Handling,Theft From Shops,0,2013,4
E01001012,Croydon,Criminal Damage,Other Criminal Damage,0,2015,3
E01033324,Lewisham,Violence Against the Person,Wounding/GBH,0,2008,8
E01003246,Lewisham,Robbery,Personal Property,3,2015,1
E01033570,Richmond upon Thames,Burglary,Burglary in a Dwelling,0,2011,4
E01000416,Bexley,Violence Against the Person,Common Assault,0,2008,5
E01001953,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Other Building,0,2010,9
E01001442,Enfield,Criminal Damage,Criminal Damage To Other Building,0,2009,6
E01002596,Hounslow,Theft and Handling,Other Theft,2,2009,3
E01001158,Croydon,Robbery,Personal Property,0,2013,11
E01002092,Haringey,Robbery,Personal Property,0,2008,10
E01002676,Hounslow,Criminal Damage,Criminal Damage To Other Building,0,2013,3
E01000401,Bexley,Criminal Damage,Criminal Damage To Other Building,0,2016,11
E01002383,Havering,Criminal Damage,Other Criminal Damage,0,2008,8
E01004412,Waltham Forest,Violence Against the Person,Harassment,0,2011,2
E01003539,Newham,Criminal Damage,Criminal Damage To Motor Vehicle,1,2010,6
E01000502,Brent,Violence Against the Person,Common Assault,0,2009,10
E01002028,Haringey,Theft and Handling,Other Theft,1,2012,3
E01000942,Camden,Robbery,Personal Property,1,2008,4
E01001542,Enfield,Other Notifiable Offences,Other Notifiable,0,2014,9
E01004168,Sutton,Drugs,Drug Trafficking,0,2009,11
E01001512,Enfield,Violence Against the Person,Assault with Injury,0,2010,1
E01000315,Barnet,Theft and Handling,Handling Stolen Goods,0,2014,12
E01001834,Hackney,Robbery,Personal Property,0,2011,11
E01033100,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,10
E01002831,Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,1,2016,2
E01002555,Hounslow,Fraud or Forgery,Counted per Victim,0,2016,2
E01000185,Barnet,Fraud or Forgery,Other Fraud & Forgery,0,2013,5
E01004340,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,5
E01004027,Southwark,Criminal Damage,Criminal Damage To Dwelling,0,2015,3
E01000353,Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,1,2009,10
E01001097,Croydon,Theft and Handling,Theft From Motor Vehicle,7,2014,7
E01004508,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,5
E01000823,Bromley,Burglary,Burglary in a Dwelling,1,2010,8
E01002889,Kensington and Chelsea,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,12
E01000252,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2008,10
E01000711,Bromley,Theft and Handling,Theft From Shops,0,2011,3
E01001584,Greenwich,Criminal Damage,Other Criminal Damage,0,2015,8
E01004511,Wandsworth,Theft and Handling,Other Theft,0,2010,6
E01001506,Enfield,Violence Against the Person,Other violence,0,2013,3
E01003077,Lambeth,Violence Against the Person,Murder,0,2010,5
E01001282,Ealing,Violence Against the Person,Other violence,0,2016,1
E01004214,Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,1,2016,1
E01002646,Hounslow,Robbery,Business Property,0,2013,7
E01003004,Kingston upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,12
E01004748,Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,10
E01001068,Croydon,Violence Against the Person,Harassment,1,2010,9
E01001722,Hackney,Criminal Damage,Criminal Damage To Dwelling,1,2011,10
E01003520,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,12
E01001848,Hackney,Robbery,Personal Property,0,2016,1
E01000456,Bexley,Drugs,Possession Of Drugs,0,2016,1
E01000896,Camden,Criminal Damage,Other Criminal Damage,0,2014,9
E01000415,Bexley,Burglary,Burglary in a Dwelling,1,2016,4
E01000051,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,12
E01003762,Redbridge,Drugs,Possession Of Drugs,0,2010,8
E01001179,Croydon,Theft and Handling,Other Theft,2,2011,5
E01002474,Hillingdon,Criminal Damage,Criminal Damage To Other Building,0,2014,11
E01004275,Tower Hamlets,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,12
E01004230,Tower Hamlets,Drugs,Drug Trafficking,0,2009,3
E01001207,Ealing,Drugs,Drug Trafficking,0,2011,3
E01000850,Camden,Theft and Handling,Theft From Shops,19,2015,9
E01002428,Hillingdon,Violence Against the Person,Other violence,0,2014,10
E01001010,Croydon,Fraud or Forgery,Counted per Victim,0,2012,3
E01002010,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,4
E01001964,Haringey,Robbery,Personal Property,0,2009,12
E01004141,Sutton,Violence Against the Person,Wounding/GBH,0,2016,7
E01004259,Tower Hamlets,Drugs,Other Drugs,0,2011,7
E01001230,Ealing,Violence Against the Person,Offensive Weapon,0,2015,8
E01033490,Islington,Other Notifiable Offences,Other Notifiable,0,2014,8
E01003401,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,5
E01002038,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2012,8
E01002249,Havering,Violence Against the Person,Assault with Injury,0,2008,5
E01003229,Lewisham,Theft and Handling,Theft From Shops,2,2012,6
E01002605,Hounslow,Theft and Handling,Other Theft Person,0,2008,4
E01000071,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2014,8
E01003197,Lewisham,Other Notifiable Offences,Going Equipped,0,2008,6
