E01002921,Kingston upon Thames,Theft and Handling,Handling Stolen Goods,0,2014,3
E01001806,Hackney,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,12
E01000873,Camden,Criminal Damage,Other Criminal Damage,0,2012,10
E01001549,Enfield,Drugs,Possession Of Drugs,0,2016,9
E01003029,Lambeth,Violence Against the Person,Common Assault,1,2009,3
E01003099,Lambeth,Other Notifiable Offences,Going Equipped,0,2009,5
E01003523,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,4
E01000902,Camden,Violence Against the Person,Harassment,0,2010,8
E01002487,Hillingdon,Drugs,Possession Of Drugs,0,2008,6
E01001864,Hammersmith and Fulham,Violence Against the Person,Harassment,1,2016,8
E01000914,Camden,Violence Against the Person,Common Assault,3,2011,1
E01004181,Sutton,Theft and Handling,Other Theft Person,0,2016,4
E01004178,Sutton,Robbery,Personal Property,0,2015,7
E01000849,Camden,Violence Against the Person,Common Assault,0,2010,1
E01003751,Redbridge,Burglary,Burglary in a Dwelling,4,2013,5
E01003202,Lewisham,Violence Against the Person,Common Assault,0,2008,2
E01001890,Hammersmith and Fulham,Robbery,Business Property,0,2014,5
E01004524,Wandsworth,Violence Against the Person,Wounding/GBH,0,2016,6
E01003128,Lambeth,Drugs,Other Drugs,0,2016,12
E01004165,Sutton,Theft and Handling,Handling Stolen Goods,1,2008,4
E01002195,Harrow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,10
E01002141,Harrow,Burglary,Burglary in a Dwelling,4,2014,10
E01003036,Lambeth,Theft and Handling,Handling Stolen Goods,0,2010,1
E01004094,Sutton,Drugs,Possession Of Drugs,0,2012,9
E01001427,Enfield,Violence Against the Person,Assault with Injury,3,2016,6
E01000653,Bromley,Criminal Damage,Other Criminal Damage,0,2014,8
E01000358,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,5
E01002559,Hounslow,Sexual Offences,Other Sexual,0,2010,8
E01003205,Lewisham,Criminal Damage,Other Criminal Damage,1,2012,4
E01000887,Camden,Theft and Handling,Handling Stolen Goods,0,2014,7
E01003857,Richmond upon Thames,Drugs,Drug Trafficking,0,2011,8
E01033485,Brent,Theft and Handling,Other Theft Person,0,2013,7
E01003372,Merton,Theft and Handling,Handling Stolen Goods,0,2013,3
E01004493,Wandsworth,Burglary,Burglary in Other Buildings,0,2010,12
E01004105,Sutton,Drugs,Possession Of Drugs,0,2010,9
E01000648,Bromley,Violence Against the Person,Murder,0,2014,10
E01002009,Haringey,Violence Against the Person,Assault with Injury,0,2013,1
E01000371,Bexley,Robbery,Business Property,0,2012,9
E01004193,Sutton,Violence Against the Person,Other violence,0,2014,11
E01000296,Barnet,Criminal Damage,Criminal Damage To Other Building,1,2011,7
E01002450,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2012,9
E01001661,Greenwich,Theft and Handling,Theft From Shops,0,2014,8
E01002032,Haringey,Drugs,Drug Trafficking,0,2014,8
E01032563,Bromley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,5
E01000077,Barking and Dagenham,Theft and Handling,Handling Stolen Goods,0,2016,11
E01001089,Croydon,Violence Against the Person,Wounding/GBH,0,2012,1
E01003048,Lambeth,Violence Against the Person,Murder,0,2014,1
E01032775,Tower Hamlets,Theft and Handling,Other Theft Person,0,2010,8
E01004738,Westminster,Violence Against the Person,Harassment,1,2010,6
E01004589,Wandsworth,Robbery,Personal Property,1,2008,9
E01000825,Bromley,Other Notifiable Offences,Other Notifiable,1,2016,5
E01000300,Barnet,Violence Against the Person,Other violence,0,2008,5
E01000647,Bromley,Other Notifiable Offences,Other Notifiable,0,2008,9
E01004237,Tower Hamlets,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,7
E01003716,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,3
E01001761,Hackney,Theft and Handling,Handling Stolen Goods,0,2011,12
E01003411,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,9
E01000348,Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,1
E01002612,Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,3,2015,3
E01004552,Wandsworth,Theft and Handling,Theft From Shops,8,2016,3
E01003450,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,7
E01003491,Newham,Violence Against the Person,Wounding/GBH,0,2010,3
E01003108,Lambeth,Other Notifiable Offences,Other Notifiable,0,2012,12
E01032790,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,0,2015,11
E01001833,Hackney,Theft and Handling,Other Theft,3,2010,6
E01001829,Hackney,Violence Against the Person,Wounding/GBH,0,2011,3
E01002269,Havering,Violence Against the Person,Murder,0,2011,3
E01001037,Croydon,Other Notifiable Offences,Other Notifiable,0,2016,4
E01002308,Havering,Drugs,Drug Trafficking,0,2010,12
E01001515,Enfield,Theft and Handling,Theft From Motor Vehicle,0,2014,7
E01001816,Hackney,Theft and Handling,Other Theft Person,2,2016,4
E01000591,Brent,Criminal Damage,Criminal Damage To Other Building,2,2011,10
E01001699,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,12
E01004738,Westminster,Violence Against the Person,Other violence,0,2009,5
E01004266,Tower Hamlets,Theft and Handling,Other Theft Person,1,2012,11
E01003268,Lewisham,Drugs,Possession Of Drugs,1,2014,3
E01001931,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,1,2013,2
E01002713,Islington,Robbery,Business Property,0,2015,12
E01001952,Hammersmith and Fulham,Violence Against the Person,Murder,0,2014,9
E01002584,Hounslow,Violence Against the Person,Other violence,0,2013,4
E01002433,Hillingdon,Burglary,Burglary in a Dwelling,0,2011,2
E01001327,Ealing,Violence Against the Person,Assault with Injury,0,2010,5
E01002726,Islington,Fraud or Forgery,Counted per Victim,0,2011,9
E01003929,Southwark,Violence Against the Person,Wounding/GBH,0,2012,9
E01000437,Bexley,Criminal Damage,Criminal Damage To Other Building,0,2016,7
E01004252,Tower Hamlets,Drugs,Drug Trafficking,0,2009,11
E01001732,Hackney,Drugs,Possession Of Drugs,0,2014,7
E01003035,Lambeth,Burglary,Burglary in a Dwelling,1,2014,12
E01003032,Lambeth,Theft and Handling,Theft From Motor Vehicle,1,2012,12
E01002125,Harrow,Criminal Damage,Criminal Damage To Dwelling,0,2010,2
E01000637,Brent,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,11
E01002372,Havering,Criminal Damage,Criminal Damage To Motor Vehicle,8,2008,3
E01002101,Haringey,Violence Against the Person,Common Assault,0,2013,10
E01004493,Wandsworth,Theft and Handling,Handling Stolen Goods,0,2012,3
E01001108,Croydon,Criminal Damage,Criminal Damage To Dwelling,1,2016,4
E01002218,Harrow,Violence Against the Person,Offensive Weapon,1,2008,4
E01002727,Islington,Violence Against the Person,Harassment,1,2008,3
E01003864,Richmond upon Thames,Fraud or Forgery,Counted per Victim,0,2009,6
E01002317,Havering,Violence Against the Person,Other violence,0,2011,8
E01001300,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,4
E01003638,Redbridge,Drugs,Possession Of Drugs,6,2011,5
E01003119,Lambeth,Drugs,Other Drugs,0,2015,2
E01001364,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,3
E01003034,Lambeth,Violence Against the Person,Wounding/GBH,1,2015,6
E01001451,Enfield,Other Notifiable Offences,Going Equipped,0,2015,5
E01003273,Lewisham,Theft and Handling,Other Theft,2,2014,7
E01002088,Haringey,Robbery,Business Property,0,2008,11
E01002243,Havering,Violence Against the Person,Offensive Weapon,0,2008,8
E01001436,Enfield,Theft and Handling,Theft From Motor Vehicle,2,2008,11
E01000006,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,7
