E01003807,Richmond upon Thames,Other Notifiable Offences,Going Equipped,0,2009,3
E01000620,Brent,Criminal Damage,Criminal Damage To Dwelling,0,2015,1
E01001908,Hammersmith and Fulham,Theft and Handling,Other Theft,1,2013,2
E01003743,Redbridge,Theft and Handling,Handling Stolen Goods,0,2011,3
E01033586,Newham,Violence Against the Person,Wounding/GBH,1,2014,8
E01004614,Wandsworth,Robbery,Business Property,0,2009,4
E01001225,Ealing,Theft and Handling,Theft From Motor Vehicle,0,2011,2
E01000519,Brent,Violence Against the Person,Common Assault,2,2013,4
E01032576,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,2
E01003376,Merton,Criminal Damage,Other Criminal Damage,0,2010,1
E01001605,Greenwich,Violence Against the Person,Harassment,0,2011,8
E01001991,Haringey,Theft and Handling,Theft From Shops,0,2012,5
E01001885,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,0,2014,6
E01001812,Hackney,Violence Against the Person,Common Assault,0,2013,1
E01001105,Croydon,Theft and Handling,Other Theft Person,0,2015,12
E01002016,Haringey,Other Notifiable Offences,Other Notifiable,0,2009,4
E01000239,Barnet,Drugs,Possession Of Drugs,2,2010,4
E01000705,Bromley,Theft and Handling,Other Theft Person,1,2012,2
E01002090,Haringey,Criminal Damage,Other Criminal Damage,1,2010,7
E01001339,Ealing,Violence Against the Person,Other violence,0,2010,5
E01000418,Bexley,Robbery,Personal Property,0,2015,4
E01000165,Barnet,Robbery,Personal Property,0,2013,2
E01000745,Bromley,Robbery,Business Property,0,2013,11
E01001050,Croydon,Violence Against the Person,Offensive Weapon,0,2016,12
E01000009,Barking and Dagenham,Sexual Offences,Other Sexual,0,2015,1
E01000916,Camden,Violence Against the Person,Wounding/GBH,0,2016,5
E01001798,Hackney,Criminal Damage,Other Criminal Damage,1,2012,2
E01002528,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2010,12
E01002827,Kensington and Chelsea,Violence Against the Person,Wounding/GBH,0,2010,7
E01003796,Redbridge,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,10
E01003089,Lambeth,Burglary,Burglary in a Dwelling,0,2015,7
E01002781,Islington,Theft and Handling,Handling Stolen Goods,0,2014,3
E01004317,Tower Hamlets,Drugs,Other Drugs,0,2012,12
E01004171,Sutton,Other Notifiable Offences,Going Equipped,0,2015,8
E01000196,Barnet,Drugs,Drug Trafficking,0,2013,6
E01001659,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2011,6
E01004711,Westminster,Violence Against the Person,Offensive Weapon,0,2013,11
E01003127,Lambeth,Violence Against the Person,Assault with Injury,1,2013,12
E01002126,Harrow,Violence Against the Person,Assault with Injury,1,2016,8
E01000922,Camden,Robbery,Personal Property,1,2015,8
E01003347,Lewisham,Burglary,Burglary in Other Buildings,0,2016,8
E01001955,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,3
E01001540,Enfield,Theft and Handling,Other Theft,1,2011,9
E01002344,Havering,Violence Against the Person,Wounding/GBH,0,2016,3
E01001518,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2016,7
E01003606,Newham,Theft and Handling,Theft From Motor Vehicle,9,2015,3
E01001160,Croydon,Other Notifiable Offences,Other Notifiable,0,2015,7
E01002854,Kensington and Chelsea,Violence Against the Person,Wounding/GBH,0,2012,11
E01000809,Bromley,Criminal Damage,Other Criminal Damage,0,2016,2
E01004765,Westminster,Burglary,Burglary in Other Buildings,13,2014,3
E01000163,Barnet,Theft and Handling,Other Theft,1,2016,2
E01003433,Merton,Theft and Handling,Other Theft Person,0,2015,2
E01004555,Wandsworth,Violence Against the Person,Wounding/GBH,0,2010,2
E01032569,Croydon,Theft and Handling,Theft From Motor Vehicle,0,2011,9
E01004142,Sutton,Theft and Handling,Handling Stolen Goods,1,2010,1
E01033707,Hackney,Violence Against the Person,Common Assault,0,2009,11
E01000760,Bromley,Drugs,Possession Of Drugs,0,2012,9
E01000667,Bromley,Criminal Damage,Criminal Damage To Dwelling,0,2008,1
E01000695,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,10
E01004365,Waltham Forest,Theft and Handling,Handling Stolen Goods,0,2012,1
E01001234,Ealing,Violence Against the Person,Wounding/GBH,0,2010,5
E01003405,Merton,Robbery,Personal Property,0,2015,4
E01002085,Haringey,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,11
E01001014,Croydon,Robbery,Personal Property,0,2011,8
E01002721,Islington,Violence Against the Person,Assault with Injury,0,2016,9
E01003190,Lewisham,Burglary,Burglary in a Dwelling,0,2016,6
E01002571,Hounslow,Drugs,Possession Of Drugs,3,2010,2
E01000315,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,2
E01001354,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,1,2008,12
E01003817,Richmond upon Thames,Drugs,Drug Trafficking,0,2015,5
E01002877,Kensington and Chelsea,Burglary,Burglary in Other Buildings,2,2009,9
E01004148,Sutton,Robbery,Personal Property,2,2009,3
E01000957,Camden,Violence Against the Person,Harassment,1,2014,12
E01002639,Hounslow,Theft and Handling,Other Theft Person,0,2010,1
E01002535,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,3
E01001896,Hammersmith and Fulham,Violence Against the Person,Common Assault,0,2014,3
E01003742,Redbridge,Burglary,Burglary in a Dwelling,1,2011,4
E01004234,Tower Hamlets,Violence Against the Person,Common Assault,2,2015,5
E01001552,Enfield,Violence Against the Person,Common Assault,1,2010,7
E01001777,Hackney,Violence Against the Person,Murder,0,2014,3
E01003378,Merton,Violence Against the Person,Harassment,0,2011,9
E01001293,Ealing,Theft and Handling,Theft From Motor Vehicle,0,2016,4
E01002186,Harrow,Violence Against the Person,Other violence,0,2010,6
E01002209,Harrow,Violence Against the Person,Offensive Weapon,0,2010,5
E01001181,Croydon,Burglary,Burglary in Other Buildings,1,2012,9
E01001064,Croydon,Violence Against the Person,Common Assault,0,2012,10
E01004315,Tower Hamlets,Theft and Handling,Other Theft,2,2016,10
E01002038,Haringey,Violence Against the Person,Wounding/GBH,0,2009,3
E01000859,Camden,Drugs,Possession Of Drugs,0,2011,3
E01000688,Bromley,Robbery,Personal Property,0,2013,9
E01001436,Enfield,Criminal Damage,Criminal Damage To Other Building,0,2015,3
E01001496,Enfield,Drugs,Possession Of Drugs,0,2012,2
E01001824,Hackney,Theft and Handling,Other Theft Person,0,2014,8
E01003573,Newham,Violence Against the Person,Wounding/GBH,0,2009,12
E01004003,Southwark,Theft and Handling,Handling Stolen Goods,0,2012,7
E01002954,Kingston upon Thames,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,4
E01003295,Lewisham,Violence Against the Person,Other violence,0,2016,9
E01003646,Redbridge,Theft and Handling,Theft From Shops,0,2015,10
E01004700,Westminster,Robbery,Personal Property,1,2012,4
E01003001,Kingston upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2010,10
E01002842,Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,0,2010,6
E01004032,Southwark,Other Notifiable Offences,Other Notifiable,0,2010,11
E01001807,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,12
E01001989,Haringey,Fraud or Forgery,Counted per Victim,7,2008,1
E01001268,Ealing,Violence Against the Person,Common Assault,0,2009,2
E01003444,Merton,Theft and Handling,Other Theft,1,2011,5
E01003644,Redbridge,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,2
E01002480,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2012,11
E01001946,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,0,2008,5
E01000802,Bromley,Robbery,Personal Property,0,2012,7
E01002608,Hounslow,Criminal Damage,Criminal Damage To Other Building,0,2014,8
E01004361,Waltham Forest,Violence Against the Person,Other violence,0,2010,8
E01003854,Richmond upon Thames,Burglary,Burglary in a Dwelling,2,2011,10
E01004702,Westminster,Theft and Handling,Theft From Motor Vehicle,3,2012,5
E01000040,Barking and Dagenham,Fraud or Forgery,Counted per Victim,0,2010,8
E01001489,Enfield,Violence Against the Person,Wounding/GBH,1,2011,4
E01000708,Bromley,Theft and Handling,Other Theft,2,2012,9
E01004044,Southwark,Theft and Handling,Theft From Shops,0,2015,3
E01004628,Wandsworth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,6
E01004467,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,6
E01001781,Hackney,Burglary,Burglary in Other Buildings,0,2013,11
E01003526,Newham,Burglary,Burglary in Other Buildings,1,2012,1
E01001754,Hackney,Other Notifiable Offences,Going Equipped,0,2016,6
E01002396,Hillingdon,Criminal Damage,Criminal Damage To Other Building,0,2008,9
E01001800,Hackney,Criminal Damage,Criminal Damage To Dwelling,0,2016,7
E01000716,Bromley,Other Notifiable Offences,Other Notifiable,0,2014,4
E01003983,Southwark,Criminal Damage,Other Criminal Damage,1,2010,10
E01002508,Hillingdon,Violence Against the Person,Offensive Weapon,0,2014,3
E01003182,Lambeth,Violence Against the Person,Wounding/GBH,0,2011,5
E01002841,Kensington and Chelsea,Drugs,Possession Of Drugs,0,2014,3
E01002884,Kensington and Chelsea,Robbery,Personal Property,1,2011,1
E01002631,Hounslow,Criminal Damage,Other Criminal Damage,0,2015,5
E01003807,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2009,6
E01001152,Croydon,Criminal Damage,Criminal Damage To Dwelling,0,2013,3
E01004607,Wandsworth,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,3
E01002430,Hillingdon,Criminal Damage,Criminal Damage To Dwelling,0,2014,10
E01000723,Bromley,Violence Against the Person,Wounding/GBH,0,2008,9
E01004247,Tower Hamlets,Robbery,Personal Property,0,2010,2
E01033700,Hackney,Theft and Handling,Other Theft,0,2009,10
E01002927,Kingston upon Thames,Drugs,Drug Trafficking,0,2010,1
